2025-03-09 16:26:47,076 INFO    MainThread:18296 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_setup.py:_flush():68] Configure stats pid to 18296
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_setup.py:_flush():68] Loading settings from /content/tiny-grpo/wandb/settings
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /content/tiny-grpo/wandb/run-20250309_162647-7jsjoc8e/logs/debug.log
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /content/tiny-grpo/wandb/run-20250309_162647-7jsjoc8e/logs/debug-internal.log
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_init.py:init():743] calling init triggers
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {}
2025-03-09 16:26:47,077 INFO    MainThread:18296 [wandb_init.py:init():776] starting backend
2025-03-09 16:26:47,284 INFO    MainThread:18296 [wandb_init.py:init():780] sending inform_init request
2025-03-09 16:26:47,286 INFO    MainThread:18296 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-09 16:26:47,286 INFO    MainThread:18296 [wandb_init.py:init():795] backend started and connected
2025-03-09 16:26:47,289 INFO    MainThread:18296 [wandb_init.py:init():888] updated telemetry
2025-03-09 16:26:47,294 INFO    MainThread:18296 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-09 16:26:47,609 INFO    MainThread:18296 [wandb_init.py:init():967] starting run threads in backend
2025-03-09 16:26:47,979 INFO    MainThread:18296 [wandb_run.py:_console_start():2409] atexit reg
2025-03-09 16:26:47,979 INFO    MainThread:18296 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-03-09 16:26:47,980 INFO    MainThread:18296 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-03-09 16:26:47,980 INFO    MainThread:18296 [wandb_run.py:_redirect():2349] Redirects installed.
2025-03-09 16:26:47,981 INFO    MainThread:18296 [wandb_init.py:init():1009] run started, returning control to user process
2025-03-09 16:35:25,806 WARNING MsgRouterThr:18296 [router.py:message_loop():75] message_loop has been closed
